datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,GD,RD,GSD,RSD,inside_day,FBR,FBR_bull,FBR_bear,clean_BO,clean_BO_bull,clean_BO_bear
2026-04-02 09:00:00,4676.57,4681.8,4664.78,4668.455,11198.0,4688.6695668146285,4708.664255998579,4733.49201910495,4753.2163,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 09:15:00,4668.445,4672.54,4662.505,4666.45,6019.0,4684.225653451703,4704.220650103992,4730.86292031652,4751.3275,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 09:30:00,4666.47,4669.825,4658.335,4661.84,8469.0,4679.748522761362,4699.759529040414,4728.156139127637,4749.2636,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 09:45:00,4661.88,4673.5,4657.175,4672.65,7075.0,4678.32881820909,4696.905894404582,4725.979427789299,4747.2519,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 10:00:00,4672.635,4675.3,4666.475,4670.33,7579.0,4676.729054567272,4694.108431835678,4723.797097287758,4744.941699999999,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 10:15:00,4670.43,4680.915,4669.56,4677.415,8516.0,4676.866243653818,4692.351228484554,4721.978191511767,4742.755999999999,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 10:30:00,4677.3,4679.155,4629.125,4634.345,20748.0,4668.361994923054,4686.2453096967065,4718.541595766208,4739.9446,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 10:45:00,4634.415,4635.6,4585.755,4594.63,29725.0,4653.615595938444,4676.601592886527,4713.682317500867,4736.3059,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 11:00:00,4594.645,4597.08,4553.85,4580.915,30226.0,4639.075476750755,4666.529319951103,4708.475756030244,4732.2381,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
2026-04-02 11:15:00,4580.98,4598.925,4574.18,4591.58,20178.0,4629.576381400604,4658.639917850987,4703.891608734941,4728.3237,4793.195,4662.125,4727.66,4602.645,4099.125,4350.885,4800.8,4417.43,False,False,False,True,False,,,,,,
