time,open,high,low,close,Volume
1762840200,4132.82,4135.51,4131.9,4133.22,1726
1762840500,4133.63,4135.58,4130.89,4130.89,1766
1762840800,4130.99,4131.36,4126.88,4127.93,2092
1762841100,4127.89,4132.42,4126.81,4131.66,1907
1762841400,4131.76,4134.66,4130.09,4133.86,1851
1762841700,4133.84,4135.21,4132.84,4133.93,1724
1762842000,4133.92,4137.67,4133.83,4136.72,1651
1762842300,4136.67,4137.86,4136.27,4137.71,1384
1762842600,4137.57,4137.57,4129.98,4130.77,1941
1762842900,4130.93,4132.26,4129.43,4130.89,1803
1762843200,4130.94,4132.09,4128.53,4129.52,1596
1762843500,4129.36,4131.18,4127.08,4127.59,1724
1762843800,4127.71,4132.8,4127.61,4131.06,1958
1762844100,4131.16,4132.49,4129.56,4129.98,1845
1762844400,4130.06,4131.12,4126.47,4126.56,1790
1762844700,4126.57,4129.82,4125.97,4127.95,1745
1762845000,4127.96,4130.76,4127.03,4129.59,1588
1762845300,4129.56,4132.06,4128.47,4131.21,1510
1762845600,4131.22,4133.13,4128.24,4129.23,1799
1762845900,4129.24,4131.78,4128.57,4131.06,1664
1762846200,4131,4131.52,4127.78,4129.08,1533
1762846500,4129.03,4130.35,4127.18,4127.7,1624
1762846800,4127.68,4131.78,4126.83,4130.67,1824
1762847100,4130.9,4132.76,4129.31,4129.33,1722
1762847400,4129.34,4130.07,4124.79,4129.76,1764
1762847700,4129.68,4132.31,4129.16,4129.61,1561
1762848000,4129.17,4134.89,4128.82,4134.83,1833
1762848300,4134.91,4136.07,4133.03,4134.11,1891
1762848600,4134.11,4137.32,4133.95,4136.84,1692
1762848900,4136.87,4137.73,4134.93,4135.41,1689
1762849200,4135.38,4135.48,4131.44,4134.72,1944
1762849500,4134.71,4135.72,4133.48,4134.74,1603
1762849800,4134.73,4134.92,4130.75,4131.6,1691
1762850100,4131.65,4131.98,4128.93,4131.86,1862
1762850400,4131.88,4133.41,4130.57,4132.13,1620
1762850700,4132.14,4135.25,4131,4135.1,1665
1762851000,4135.13,4137.03,4134.37,4136.74,1603
1762851300,4136.63,4137.21,4134.87,4135.6,1552
1762851600,4135.64,4141.72,4134.36,4141.72,1846
1762851900,4141.71,4143.01,4139.92,4142.77,1606
1762852200,4142.87,4144.15,4141.69,4143.12,1375
1762852500,4143.11,4143.63,4141.9,4142.42,1397
1762852800,4142.43,4144.31,4140.84,4141.61,1596
1762853100,4141.6,4144.47,4141.41,4143.73,1520
1762853400,4143.73,4144.99,4143.43,4144.46,1342
1762853700,4144.48,4145.36,4143.31,4143.68,1427
1762854000,4143.69,4144.08,4142.98,4143.7,1357
1762854300,4143.72,4145.92,4142.84,4145.32,1329
1762854600,4145.33,4145.65,4142.97,4143.96,1272
1762854900,4143.96,4144.55,4141.77,4141.82,1385
1762855200,4141.85,4142.46,4137.63,4138.08,1778
1762855500,4138.1,4140.18,4137.48,4138.73,1584
1762855800,4138.73,4142.2,4138.71,4141.34,1484
1762856100,4141.25,4142.74,4140.47,4142.41,1339
1762856400,4142.39,4143.99,4141.43,4143.82,1298
1762856700,4143.93,4143.93,4142.05,4142.15,1450
1762857000,4142.15,4142.15,4136.99,4138.61,1855
1762857300,4138.57,4140.84,4136.92,4137.74,1740
1762857600,4137.71,4139.58,4137.05,4139.45,1477
1762857900,4139.48,4141.56,4139.48,4141.06,1422
1762858200,4141.07,4143.13,4140.87,4142.3,1321
1762858500,4142.34,4144.2,4141.28,4141.71,1421
1762858800,4141.73,4143.24,4140.15,4142.01,1458
1762859100,4142.05,4143.65,4141.96,4142.99,1398
1762859400,4142.97,4143.52,4139.67,4140.08,1408
1762859700,4140.53,4140.87,4139.29,4140.42,1440
1762860000,4140.47,4141.23,4139.03,4139.64,1669
1762860300,4139.38,4143.62,4139.23,4141.22,1656
1762860600,4140.92,4142.56,4139.44,4141.07,1528
1762860900,4141.08,4141.74,4139.39,4141.02,1185
1762861200,4141.03,4144.42,4140.65,4142.09,1272
1762861500,4142.23,4144.52,4141.77,4142.73,1542
1762861800,4142.83,4144.05,4141.81,4143.96,1346
1762862100,4143.98,4144.52,4141.22,4142.87,1741
1762862400,4143.08,4144,4141.4,4142.06,1750
1762862700,4142.06,4142.23,4139.65,4139.89,1754
1762863000,4139.89,4140.09,4137.16,4139.06,1701
1762863300,4139.06,4139.57,4136.89,4137.09,1619
1762863600,4137.01,4140.26,4136.61,4140.04,1827
1762863900,4140.16,4140.99,4138.75,4138.88,1589
1762864200,4138.89,4139.75,4137.84,4139.6,1315
1762864500,4139.59,4141.77,4139.44,4140.85,1409
1762864800,4140.79,4141.43,4139.83,4141.12,1284
1762865100,4141.27,4141.28,4136.68,4138.04,1464
1762865400,4138.07,4138.44,4133.46,4135.1,1912
1762865700,4135.05,4136.71,4133.13,4134.43,1972
1762866000,4134.55,4137.03,4133.99,4135.39,2122
1762866300,4135.38,4138.73,4135.07,4138.13,1805
1762866600,4138.08,4140.62,4138.01,4140.31,1742
1762866900,4140.33,4141.23,4138.09,4141.08,1758
1762867200,4140.8,4143.59,4139.17,4143.16,1883
1762867500,4143.23,4143.83,4140.97,4141.61,1866
1762867800,4141.57,4145.29,4139.07,4145.26,1941
1762868100,4145.29,4146.75,4143.53,4145.83,2051
1762868400,4145.82,4146.17,4141.14,4141.96,1953
